headerdatestamp|headeridentifier|headersetSpec|metadata.mods.accessCondition#text|metadata.mods.accessCondition@type|metadata.mods.accessCondition@xlink:href|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.language.languageTerm#text|metadata.mods.language.languageTerm@type|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@type|metadata.mods.namenamePart|metadata.mods.note.0|metadata.mods.note.1|metadata.mods.note.2|metadata.mods.note.3|metadata.mods.note.4|metadata.mods.note.5|metadata.mods.originInfo.0publisher|metadata.mods.originInfo.1dateOther|metadata.mods.originInfopublisher|metadata.mods.physicalDescription.0note|metadata.mods.physicalDescription.1internetMediaType|metadata.mods.physicalDescriptioninternetMediaType|metadata.mods.relatedItem.titleInfotitle|metadata.mods.subject.0geographic|metadata.mods.subject.10topic|metadata.mods.subject.11topic|metadata.mods.subject.12topic|metadata.mods.subject.13topic|metadata.mods.subject.14topic|metadata.mods.subject.15topic|metadata.mods.subject.16topic|metadata.mods.subject.17topic|metadata.mods.subject.18topic|metadata.mods.subject.19topic|metadata.mods.subject.1geographic|metadata.mods.subject.20topic|metadata.mods.subject.21topic|metadata.mods.subject.22topic|metadata.mods.subject.23topic|metadata.mods.subject.24topic|metadata.mods.subject.25topic|metadata.mods.subject.26topic|metadata.mods.subject.27topic|metadata.mods.subject.28topic|metadata.mods.subject.29topic|metadata.mods.subject.2geographic|metadata.mods.subject.30topic|metadata.mods.subject.31topic|metadata.mods.subject.32topic|metadata.mods.subject.33topic|metadata.mods.subject.3geographic|metadata.mods.subject.4geographic|metadata.mods.subject.4topic|metadata.mods.subject.5geographic|metadata.mods.subject.5topic|metadata.mods.subject.6geographic|metadata.mods.subject.6topic|metadata.mods.subject.7topic|metadata.mods.subject.8topic|metadata.mods.subject.9topic|metadata.mods.titleInfo.0title|metadata.mods.titleInfo.1title|metadata.mods.titleInfo.2title|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modstypeOfResource
2019-06-18T15:10:22Z|garner_17|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A17|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A17/datastream/TN/view|preview|creator|text|W. O. Garner|Shows a group of 13 African Americans women, all dressed in white, standing on a porch. The dresses are floor length with decorative accents, such as ruffles. This is probably a graduation portrait. The porch has lace curtains. Through the opening of the curtains on the left side is a small table with a bow tied on its base; on top is a lace cloth and a clock. There is a fence and gate in the foreground with plants growing behind it. There are two windows on the second floor of the wooden building; the porch has a wooden shingle roof.|Document ID: bcapp00114|Original ID: Garner 193A|    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|1890 - 1903|    |Photographic prints (4 x 5 inches)|image/jpeg|    |    |Blount County, Tennessee|Students - Tennessee - Maryville|Group portraits|African Americans - Tennessee - Maryville|Buildings|Wooden buildings - Tennessee - Maryville|Clothing and dress|Celebrations and ceremonies|African Americans - Women - Tennessee - Maryville|Clocks and watches|Fences - Tennessee - Maryville|Southern Appalachia|    |    |    |    |    |    |    |    |    |    |Cades Cove, Tennessee|    |    |    |    |Maryville, Tennessee|    |Freedman's Normal Institute (Maryville, Tennessee) - Students|    |Draperies|    |Porches - Tennessee - Maryville|Lace - American|Architectural elements|Graduation ceremonies - Tennessee - Maryville|    |    |    |Group of female students posed on a front porch|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
2019-06-18T15:10:22Z|garner_88|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A88|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A88/datastream/TN/view|preview|creator|text|W. O. Garner|Shows a large abandoned brick building with steps on either side leading up to the main door in the middle of the front. On the sidewalk level there are doors on the left and right of the steps. On the side six windows are visible, four of them with shutters. On the right side there is a wooden fence.|Document ID: bcapp00168|Original ID: Garner 6|    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|1892 - 1903|    |Photographic prints (8 x 10 inches)|image/jpeg|    |Garner, William Orland, 1858-1940 (William Orland) Blount County remembered : the 1890's photography of W.O. Garner / Maryville, TN : Blount County Genealogical and Historical Society, c1991, p. 26.|Blount County, Tennessee|Columbian Hall (Maryville, Tennessee)|Bricks|Fences - Tennessee - Maryville|Abandoned buildings - Tennessee - Maryville|Architectural elements|    |    |    |    |    |Southern Appalachia|    |    |    |    |    |    |    |    |    |    |Cades Cove, Tennessee|    |    |    |    |Maryville, Tennessee|    |Doors and doorways - Tennessee - Maryville|    |Building deterioration - Tennessee - Maryville|    |Buildings|Shutters - Tennessee - Maryville|Stairways - Tennessee - Maryville|New Providence Church (Maryville, Tennessee)|    |    |    |Columbian Hall, Broadway entrance; Maryville, Tennessee, corner of Main (now Broadway) and Cates; former New Providence Presbyterian Church built 1852|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
2019-06-18T15:10:22Z|garner_25|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A25|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A25/datastream/TN/view|preview|creator|text|W. O. Garner|Shows a building with a wood shingle roof and porch. In front of the structure there is a fence with a gate. A bearded man is standing with his hand on the fence; he is dressed in a shirt, pants with suspenders and a hat. There are plants in the foreground as well as a large tree. There is a small tree next to the building behind the fence. In the background is a hill covered with trees. Inside the building there are two additional people.|Document ID: bcapp00143|Original ID: Garner 34|    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|1890 - 1903|    |Photographic prints (5 x 8 inches)|image/jpeg|    |Garner, William Orland, 1858-1940 (William Orland) Blount County remembered : the 1890's photography of W.O. Garner / Maryville, TN : Blount County Genealogical and Historical Society, c1991, p. 79.|Blount County, Tennessee|Wooden buildings - Tennessee|Tolls - Tennessee|Roofs - Tennessee|Hills - Tennessee|Men - Tennessee|Toll booths - Tennessee|Buildings|Geographic features|Transportation|    |Southern Appalachia|    |    |    |    |    |    |    |    |    |    |Cades Cove, Tennessee|    |    |    |    |Maryville, Tennessee|    |Plants - Tennessee|    |Gates - Tennessee|    |Clothing and dress - Tennessee|Beards|Trees - Tennessee|Fences - Tennessee|Turnpike ran from the mouth of Abrams Creek to about one-half mile northeast of Deals Gap|Toll gate cabin for the Parsons Turnpike, located near Parsons Branch Road and Deals Gap|    |    |3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
2019-06-18T15:10:22Z|garner_80|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A80|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A80/datastream/TN/view|preview|creator|text|Garner, William Orland|Shows the side of a large two story wood frame building with a lower floor made of brick. The building is on a slope so that all three floors are visible on the side and back; the back side also has three dormers and downspouts. There are two chimneys visible as well as a small tower on the roof. There are seven windows visible on the side. On the back there are windows and doors partially visible. There are probably lightening rods on the roof, dormers, and tower. There are also trees and a fence visible with grass surrounding the building. The paint on the building is deteriorating.|Document ID: bcapp00161|Original ID: Garner 85|    |    |    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|Photographic prints (8 x 10 inches)|image/jpeg|    |    |Blount County, Tennessee|Chimneys - Tennessee - Maryville|Bricks|Dormers - Tennessee - Maryville|Towers - Tennessee - Maryville|Windows - Tennessee - Maryville|Downspouts - Tennessee - Maryville|Physical features|Fences - Tennessee - Maryville|Grasses|Buildings|Southern Appalachia|    |    |    |    |    |    |    |    |    |    |Cades Cove, Tennessee|    |    |    |    |Maryville, Tennessee|    |Dormitories - Tennessee - Maryville|    |Building deterioration - Tennessee - Maryville|    |Freedman's Normal Institute (Maryville, Tennessee)|Trees - Tennessee - Maryville|Wooden buildings - Tennessee - Maryville|Architectural elements|    |    |    |Dormitory, Freedman's Normal Institute, Maryville, Tennessee|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
2019-06-18T15:10:22Z|garner_101|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A101|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A101/datastream/TN/view|preview|creator|text|W. O. Garner|Shows dining room of a house. The table in the foreground has scrolled legs and is covered with a fringed cloth; there are glass vases with flowers in them on top. There is a wooden door behind the table and a sideboard to the right of the door. The sideboard has carvings on the drawers and decorative dishes and serving pieces sitting on top. There is a framed picture above the sideboard. Hanging from the ceiling are Chinese lanterns and a gas light fixture. There is a floor coving and a decorative throw rug.|Document ID: bcapp00107|Original ID: Garner 212|    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|1890 - 1903|    |Photographic prints (8 x 10 inches)|image/jpeg|    |    |Blount County, Tennessee|Paintings|Architectural elements|Gaslight fixtures|Vases|Buffets (Furniture)|Floor coverings|Recreation|Chinese lanterns|Tables|Rugs|Southern Appalachia|Doors and doorways - Tennessee - Maryville|    |    |    |    |    |    |    |    |    |Cades Cove, Tennessee|    |    |    |    |Maryville, Tennessee|    |Tablecloths|    |Interior decoration|    |Tableware|Dining rooms - Tennessee - Maryville|Burger House (Maryville, Tennessee)|Interiors|    |    |    |Dining room of Burger house on West Broadway, Maryville, Tennessee, ready for Tuesday Club reception|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
2019-06-18T15:10:22Z|garner_8|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A8|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A8/datastream/TN/view|preview|creator|text|W. O. Garner|Shows a African American woman holding a baby sitting in a wicker rocking chair. The woman has on a dress and the baby has on a long gown. Possibly this is a christening portrait. The floor covering has a floral pattern.|Document ID: bcapp00117|Original ID: Garner 197A|    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|1890 - 1903|    |Photographic prints (4 x 5 inches)|image/jpeg|    |    |Blount County, Tennessee|Rocking chairs|Mothers and children - Tennessee - Maryville|African Americans - Children - Tennessee - Maryville|Women - Tennessee - Maryville|Baptisms - Tennessee - Maryville|Wicker furniture|Infants - Tennessee - Maryville|    |    |    |Southern Appalachia|    |    |    |    |    |    |    |    |    |    |Cades Cove, Tennessee|    |    |    |    |Maryville, Tennessee|    |Celebrations and ceremonies|    |Clothing and dress - Tennessee - Maryville|    |Floor coverings|Portrait photographs|African Americans - Women - Tennessee - Maryville|African Americans - Tennessee - Maryville|    |    |    |Mother and baby in a rocking chair|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
2019-06-18T15:10:22Z|garner_120|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A120|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A120/datastream/TN/view|preview|creator|text|W. O. Garner|Shows a group of seven men standing in front of three farm buildings. All the men are wearing shirts and pants; five of them have on suspenders. Three of them are holding hats in their hands. On the left side one of the men is holding the rein to a horse of which the head is not visible; they are standing near a pile of hay. Behind them is a stacked log building with stones on the roof. Behind that is a log building with a wooden roof. On the right three men are standing to the left of a large wooden wheel and three men are standing to the right of it. Behind them is a log building with a wooden roof and a covered entryway. Behind that is a hill which has corn growing on it; there is a split rail fence on top of the hill. There are plants in the foreground and trees in the background.|Document ID: bcapp00211|Original ID: Garner 177|    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|1890 - 1903|    |Photographic prints (4 x 5 inches)|image/jpeg|    |    |Blount County, Tennessee|Horses - Tennessee - Blount County|Clothing and dress|Agricultural facilities - Tennessee - Blount County|Roofs - Tennessee - Blount County|Fences - Tennessee - Blount County|Croplands - Tennessee - Blount County|Log buildings - Tennessee - Blount County|    |    |    |Southern Appalachia|    |    |    |    |    |    |    |    |    |    |Cades Cove, Tennessee|    |    |    |    |Maryville, Tennessee|    |Buildings|    |Men - Tennessee - Blount County|    |Agricultural laborers - Tennessee - Blount County|Corn - Tennessee - Blount County|Hay - Tennessee - Blount County|Agriculture|    |    |    |Farm wokers in Blount County|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
2019-06-18T15:10:22Z|garner_44|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A44|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A44/datastream/TN/view|preview|creator|text|W. O. Garner|Shows a group of three men, eight women, and three boys sitting and standing in a living room. The women all have on long dresses and hats; the woman on the right is dressed in white and has an arm patch with a cross on it, denoting the American Red Cross. The men and boys are in suits and ties. There is a large patterned carpet on the floor as well as a smaller one beneath the boys who are sitting on the floor. There is a gas light fixture hanging from the ceiling. there is wall paper on the walls. The nurse is standing on the hearth of the fireplace which has decorative tiles around it and a wooden mantel with a mirror above it. The mantel has pitchers, framed pictures and other objects on it; there is a framed painting above it. There are screen prints on either side of window which has a decorative wood surround and above it architectural details and carving. There are other framed paintings on the left wall.|Document ID: bcapp00175|Original ID: Garner 101|    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|1890 - 1899|    |Photographic prints (8 x 10 inches)|image/jpeg|    |Garner, William Orland, 1858-1940 (William Orland) Blount County remembered : the 1890's photography of W.O. Garner / Maryville, TN : Blount County Genealogical and Historical Society, c1991, p. 20, closeup p. 18.|Blount County, Tennessee|Joe Burger|Men - Tennessee - Maryville|Interiors|Women - Tennessee - Maryville|Paintings|Burger House (Maryville, Tennessee)|Entertaining - Tennessee - Maryville|Knox Burger|Group portraits - Tennessee - Maryville|Caroline Cecelia Lord Follett|Southern Appalachia|Karl Garner|Helen M. Lord|Floor coverings - Tennessee - Maryville|Boys - Tennessee - Maryville|Jane M. Simmons|Hats - Tennessee - Maryville|Clothing and dress - Tennessee - Maryville|Lizzie Knox Burger|Col. Haines|Living rooms - Tennessee - Maryville|Cades Cove, Tennessee|Mrs. Bennet|Carl Burger|Gaslight fixtures|    |Maryville, Tennessee|    |Mrs. Haines|    |Mantels - Tennessee - Maryville|    |Wallpapers|W. O. Garner|Nurses - Tennessee - Maryville|Letitia Hastings Garner|    |    |    |Living room of Burger house|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
2019-06-18T15:10:22Z|garner_69|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A69|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A69/datastream/TN/view|preview|creator|text|Garner, William Orland|Shows a man wearing a suit, vest, and a four-in-hand tie. He has a moustache.|Document ID: bcapp00218|Original ID: Garner 182|    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|1910 - 1930|    |Photographic prints (4 x 5 inches)|image/jpeg|    |    |Blount County, Tennessee|    |    |    |    |    |    |    |    |    |    |Southern Appalachia|    |    |    |    |    |    |    |    |    |    |Cades Cove, Tennessee|    |    |    |    |Maryville, Tennessee|    |Men - Tennessee - Blount County|    |Hairstyles - Tennessee - Blount County|    |Neckties|W. O. Garner, 1858-1940|Clothing and dress|Mustaches|    |    |    |W. O. Garner portrait, later in life|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
2019-06-18T15:10:22Z|garner_121|garner|Copyright Not Evaluated|use and reproduction|http://rightsstatements.org/vocab/CNE/1.0/|image|dct|en|text|https://digital.lib.utk.edu/collections/islandora/object/garner%3A121|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/garner%3A121/datastream/TN/view|preview|creator|text|Ludwig Pflanze|Map showing roads, trails, and creeks, and geographic features of southeast Blount County.|Document ID: bcapp00206|Original ID: Garner|    |    |    |The University of Tennessee Libraries, Knoxville, Tennessee|1929 - 00 - 00|    |    |    |image/jpeg|Garner, William Orland, 1858-1940 (William Orland) Blount County remembered : the 1890's photography of W.O. Garner / Maryville, TN : Blount County Genealogical and Historical Society, c1991, p. 33.|Blount County, Tennessee|    |    |    |    |    |    |    |    |    |    |Southern Appalachia|    |    |    |    |    |    |    |    |    |    |Cades Cove, Tennessee|    |    |    |    |Maryville, Tennessee|    |Happy Valley, Tennessee - Maps|    |Trails - Tennessee - Blount County - Maps|    |Montvale Springs, Tennessee - Maps|Roads - Tennessee - Blount County - Maps|    |    |    |    |    |Map of Montvale Springs and vicinity showing roads, trails, creeks, and other points of interest|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|still image
